"","Id","Game_Id","Name","Gender","Age","Age_range","Playable","Sexualization","Species","Side","Relevance","Romantic_Interest","Title","Release","Series","Genre","Sub.genre","Developer","Publisher","Country","Platform","PEGI","Customizable_main","Protagonist","Protagonist_Non_Male","Relevant_males","Relevant_no_males","Percentage_non_male","Criteria","Director","Total_team","female_team","Team_percentage","Metacritic","Destructoid","IGN","GameSpot","Avg_Reviews","X","Sexualized_clothing","Trophy","Damsel.in.Distress","Sexualized.Cutscenes","Total"
"1","BB_Doll","BB","Doll","Female","Unknown","Unknown",0,0,"Humanoid","P","SC","No","Bloodborne","Mar-15","","RPG","Action RPG","FromSoftware","Sony Computer Entertainment","JPN","PS4",16,"Yes",1,1,3,2,"40%","TR","M",5,0,"0%",9.2,9,9.1,9,9.1,NA,0,0,0,0,0
"2","BB_Gahrman","BB","Gahrman","Male","Elderly","Elderly",0,0,"Human","B","MC","No","Bloodborne","Mar-15","","RPG","Action RPG","FromSoftware","Sony Computer Entertainment","JPN","PS4",16,"Yes",1,1,3,2,"40%","TR","M",5,0,"0%",9.2,9,9.1,9,9.1,NA,0,0,0,0,0
"3","BB_Gascoigne","BB","Gascoigne","Male","Unknown","Unknown",0,0,"Human","A","SC","No","Bloodborne","Mar-15","","RPG","Action RPG","FromSoftware","Sony Computer Entertainment","JPN","PS4",16,"Yes",1,1,3,2,"40%","TR","M",5,0,"0%",9.2,9,9.1,9,9.1,NA,0,0,0,0,0
"4","BB_Hunter","BB","Hunter","Custom","Adult","Adult",1,0,"Human","P","PA","No","Bloodborne","Mar-15","","RPG","Action RPG","FromSoftware","Sony Computer Entertainment","JPN","PS4",16,"Yes",1,1,3,2,"40%","TR","M",5,0,"0%",9.2,9,9.1,9,9.1,NA,0,0,0,0,0
"5","BB_Micolash","BB","Micolash","Male","Unknown","Unknown",0,0,"Human","A","MA","No","Bloodborne","Mar-15","","RPG","Action RPG","FromSoftware","Sony Computer Entertainment","JPN","PS4",16,"Yes",1,1,3,2,"40%","TR","M",5,0,"0%",9.2,9,9.1,9,9.1,NA,0,0,0,0,0
"6","BL2_Angel","BL2","Angel Guardian","Female","Adult","Adult",0,1,"Human","B","MC","No","Borderlands 2","Sep-12","Borderlands","Action","FPS","Gearbox Software","2K Games","USA","Multi",18,"No",4,1,8,4,"33%","MS","M",7,0,"0%",8.1,8.5,9,8.5,8.5,NA,0,0,1,0,1
"7","BL2_Axton","BL2","Axton","Male","Adult","Adult",1,0,"Human","P","PA","No","Borderlands 2","Sep-12","Borderlands","Action","FPS","Gearbox Software","2K Games","USA","Multi",18,"No",4,1,8,4,"33%","MS","M",7,0,"0%",8.1,8.5,9,8.5,8.5,NA,0,0,0,0,0
"8","BL2_Brick","BL2","Brick","Male","Adult","Adult",0,0,"Human","P","SC","No","Borderlands 2","Sep-12","Borderlands","Action","FPS","Gearbox Software","2K Games","USA","Multi",18,"No",4,1,8,4,"33%","MS","M",7,0,"0%",8.1,8.5,9,8.5,8.5,NA,0,0,0,0,0
"9","BL2_Handsome","BL2","Handsome Jack","Male","Adult","Adult",0,0,"Human","A","MA","No","Borderlands 2","Sep-12","Borderlands","Action","FPS","Gearbox Software","2K Games","USA","Multi",18,"No",4,1,8,4,"33%","MS","M",7,0,"0%",8.1,8.5,9,8.5,8.5,NA,0,0,0,0,0
"10","BL2_Lilith","BL2","Lilith","Female","Adult","Adult",0,0,"Human","P","MC","No","Borderlands 2","Sep-12","Borderlands","Action","FPS","Gearbox Software","2K Games","USA","Multi",18,"No",4,1,8,4,"33%","MS","M",7,0,"0%",8.1,8.5,9,8.5,8.5,NA,0,0,0,0,0
